Index,Type,Weight,Price
1,Shrimp	,9.6,9.4
2,Crab	,8.6,9.72
3,Crab	,8.5,9.72
4,Scallop	,10.3,9.62
5,Shrimp	,9.3,9.4
6,Fish	,9.1,9.4
7,Scallop	,8.8,9.62
8,Fish	,8.0,9.4
9,Shrimp	,9.1,9.4
10,Shrimp	,9.9,9.4
11,Shrimp	,9.0,9.4
12,Shrimp	,10.0,9.4
13,Scallop	,7.6,9.62
14,Fish	,9.5,9.4
15,Crab	,9.4,9.72
16,Scallop	,9.5,9.62
17,Scallop	,7.7,9.62
18,Crab	,7.7,9.72
19,Scallop	,10.0,9.62
20,Scallop	,7.6,9.62
21,Scallop	,7.9,9.62
22,Fish	,9.1,9.4
23,Scallop	,9.4,9.62
24,Shrimp	,10.3,9.4
25,Scallop	,8.8,9.62
26,Scallop	,8.1,9.62
27,Fish	,8.8,9.4
28,Scallop	,7.7,9.62
29,Shrimp	,8.8,9.4
30,Shrimp	,9.6,9.4
31,Fish	,10.2,9.4
32,Crab	,7.6,9.72
33,Crab	,7.7,9.72
34,Crab	,9.2,9.72
35,Scallop	,9.0,9.62
36,Shrimp	,8.0,9.4
37,Scallop	,8.1,9.62
38,Shrimp	,8.2,9.4
39,Shrimp	,10.0,9.4
40,Crab	,8.9,9.72
41,Fish	,9.1,9.4
42,Shrimp	,8.2,9.4
43,Shrimp	,8.6,9.4
44,Shrimp	,7.6,9.4
45,Scallop	,9.3,9.62
46,Shrimp	,8.7,9.4
47,Crab	,9.1,9.72
48,Shrimp	,9.0,9.4
49,Crab	,9.2,9.72
50,Scallop	,10.4,9.62
51,Crab	,10.0,9.72
52,Scallop	,8.0,9.62
53,Fish	,9.8,9.4
54,Scallop	,8.3,9.62
55,Scallop	,8.6,9.62
56,Shrimp	,7.6,9.4
57,Shrimp	,7.8,9.4
58,Fish	,8.8,9.4
59,Fish	,9.7,9.4
60,Scallop	,8.4,9.62
61,Shrimp	,9.8,9.4
62,Crab	,10.0,9.72
63,Shrimp	,7.8,9.4
64,Shrimp	,8.9,9.4
65,Shrimp	,9.9,9.4
66,Scallop	,8.7,9.62
67,Crab	,7.7,9.72
68,Shrimp	,8.8,9.4
69,Shrimp	,9.3,9.4
70,Crab	,8.4,9.72
71,Shrimp	,8.1,9.4
72,Shrimp	,9.0,9.4
73,Shrimp	,7.7,9.4
74,Fish	,8.0,9.4
75,Shrimp	,8.1,9.4
76,Scallop	,7.9,9.62
77,Scallop	,9.5,9.62
78,Shrimp	,7.9,9.4
79,Crab	,8.3,9.72
80,Shrimp	,7.9,9.4
81,Shrimp	,7.9,9.4
82,Shrimp	,10.1,9.4
83,Shrimp	,9.5,9.4
84,Crab	,8.6,9.72
85,Fish	,8.9,9.4
86,Crab	,8.3,9.72
87,Fish	,8.7,9.4
88,Scallop	,9.0,9.62
89,Scallop	,9.6,9.62
90,Shrimp	,9.3,9.4
91,Crab	,9.9,9.72
92,Shrimp	,8.8,9.4
93,Shrimp	,7.8,9.4
94,Shrimp	,9.0,9.4
95,Crab	,8.9,9.72
96,Crab	,9.4,9.72
97,Scallop	,9.3,9.62
98,Scallop	,10.3,9.62
99,Fish	,10.1,9.4
100,Crab	,8.3,9.72
101,Crab	,10.4,9.72
102,Shrimp	,9.5,9.4
103,Scallop	,10.4,9.62
104,Crab	,8.1,9.72
105,Fish	,8.8,9.4
106,Fish	,8.4,9.4
107,Fish	,8.7,9.4
108,Fish	,10.3,9.4
109,Scallop	,9.4,9.62
110,Fish	,9.3,9.4
111,Shrimp	,9.1,9.4
112,Scallop	,9.4,9.62
113,Shrimp	,8.1,9.4
114,Fish	,7.7,9.4
115,Scallop	,9.6,9.62
116,Scallop	,9.2,9.62
117,Fish	,9.1,9.4
118,Crab	,9.7,9.72
119,Fish	,9.2,9.4
120,Shrimp	,7.7,9.4
121,Shrimp	,9.3,9.4
122,Fish	,9.4,9.4
123,Crab	,8.8,9.72
124,Scallop	,10.0,9.62
125,Scallop	,9.1,9.62
126,Crab	,7.6,9.72
127,Crab	,10.3,9.72
128,Crab	,9.4,9.72
129,Crab	,8.6,9.72
130,Crab	,8.5,9.72
131,Crab	,9.7,9.72
132,Fish	,9.1,9.4
133,Fish	,10.1,9.4
134,Fish	,7.9,9.4
135,Crab	,9.0,9.72
136,Crab	,7.9,9.72
137,Fish	,9.6,9.4
138,Scallop	,8.2,9.62
139,Fish	,9.4,9.4
140,Crab	,10.2,9.72
141,Scallop	,10.2,9.62
142,Fish	,8.6,9.4
143,Crab	,9.9,9.72
144,Scallop	,9.8,9.62
145,Fish	,9.0,9.4
146,Shrimp	,10.0,9.4
147,Shrimp	,7.8,9.4
148,Fish	,8.7,9.4
149,Scallop	,7.8,9.62
150,Fish	,9.7,9.4
151,Shrimp	,8.0,9.4
152,Scallop	,7.6,9.62
153,Fish	,9.5,9.4
154,Scallop	,10.4,9.62
155,Fish	,10.0,9.4
156,Scallop	,8.8,9.62
157,Crab	,9.0,9.72
158,Shrimp	,9.6,9.4
159,Fish	,9.0,9.4
160,Crab	,8.6,9.72
161,Fish	,9.6,9.4
162,Fish	,8.5,9.4
163,Fish	,8.3,9.4
164,Crab	,9.1,9.72
165,Shrimp	,9.4,9.4
166,Crab	,8.6,9.72
167,Crab	,7.8,9.72
168,Crab	,10.2,9.72
169,Fish	,9.6,9.4
170,Scallop	,9.6,9.62
171,Shrimp	,8.1,9.4
172,Scallop	,9.6,9.62
173,Fish	,7.8,9.4
174,Fish	,9.3,9.4
175,Crab	,8.1,9.72
176,Shrimp	,8.7,9.4
177,Scallop	,8.3,9.62
178,Fish	,9.6,9.4
179,Fish	,9.0,9.4
180,Shrimp	,9.2,9.4
181,Scallop	,8.3,9.62
182,Shrimp	,10.2,9.4
183,Scallop	,8.2,9.62
184,Crab	,9.8,9.72
185,Fish	,9.9,9.4
186,Fish	,8.2,9.4
187,Fish	,10.1,9.4
188,Fish	,9.0,9.4
189,Shrimp	,10.4,9.4
190,Shrimp	,9.6,9.4
191,Scallop	,8.4,9.62
192,Shrimp	,9.8,9.4
193,Scallop	,8.9,9.62
194,Fish	,9.9,9.4
195,Shrimp	,9.8,9.4
196,Crab	,10.4,9.72
197,Shrimp	,8.2,9.4
198,Fish	,10.2,9.4
199,Crab	,10.4,9.72
200,Fish	,8.6,9.4
201,Scallop	,9.8,9.62
202,Shrimp	,8.4,9.4
203,Crab	,10.3,9.72
204,Shrimp	,8.6,9.4
205,Scallop	,9.1,9.62
206,Shrimp	,9.0,9.4
207,Crab	,8.6,9.72
208,Crab	,8.8,9.72
209,Crab	,8.8,9.72
210,Crab	,9.2,9.72
211,Fish	,10.0,9.4
212,Fish	,10.1,9.4
213,Scallop	,8.6,9.62
214,Shrimp	,10.4,9.4
215,Shrimp	,9.7,9.4
216,Crab	,8.4,9.72
217,Fish	,9.6,9.4
218,Fish	,8.4,9.4
219,Scallop	,9.7,9.62
220,Shrimp	,9.4,9.4
221,Fish	,8.7,9.4
222,Crab	,8.5,9.72
223,Fish	,8.0,9.4
224,Shrimp	,9.1,9.4
225,Fish	,9.3,9.4
226,Shrimp	,9.1,9.4
227,Shrimp	,9.7,9.4
228,Fish	,7.8,9.4
229,Shrimp	,8.6,9.4
230,Crab	,8.0,9.72
231,Scallop	,8.1,9.62
232,Crab	,8.6,9.72
233,Scallop	,10.1,9.62
234,Scallop	,9.8,9.62
235,Shrimp	,10.0,9.4
236,Fish	,9.3,9.4
237,Shrimp	,8.8,9.4
238,Crab	,9.3,9.72
239,Fish	,8.8,9.4
240,Fish	,9.2,9.4
241,Shrimp	,8.2,9.4
242,Fish	,8.4,9.4
243,Crab	,8.0,9.72
244,Shrimp	,8.8,9.4
245,Fish	,10.2,9.4
246,Crab	,10.1,9.72
247,Fish	,7.7,9.4
248,Shrimp	,10.1,9.4
249,Fish	,10.4,9.4
250,Shrimp	,9.0,9.4
251,Scallop	,9.1,9.62
252,Scallop	,8.4,9.62
253,Crab	,9.9,9.72
254,Fish	,7.6,9.4
255,Fish	,8.2,9.4
256,Crab	,8.2,9.72
257,Fish	,9.4,9.4
258,Shrimp	,9.5,9.4
259,Fish	,10.0,9.4
260,Fish	,8.9,9.4
261,Scallop	,9.5,9.62
262,Scallop	,10.0,9.62
263,Shrimp	,9.9,9.4
264,Scallop	,7.6,9.62
265,Shrimp	,9.5,9.4
266,Shrimp	,9.5,9.4
267,Crab	,7.9,9.72
268,Shrimp	,8.4,9.4
269,Crab	,9.9,9.72
270,Shrimp	,8.8,9.4
271,Shrimp	,8.2,9.4
272,Fish	,8.8,9.4
273,Fish	,8.1,9.4
274,Fish	,8.9,9.4
275,Scallop	,9.6,9.62
276,Crab	,9.8,9.72
277,Fish	,10.3,9.4
278,Fish	,8.0,9.4
279,Scallop	,7.8,9.62
280,Crab	,7.7,9.72
281,Shrimp	,9.0,9.4
282,Fish	,7.8,9.4
283,Shrimp	,10.1,9.4
284,Scallop	,10.2,9.62
